data_id,id,classe,darija_arabic,darija_arabizi,english,modern_standard_arabic,english_word_count,status
data51034,WIKI_C_10756,C,الدورة 14 ديال GCPM (1971) زادت الباسكال (الرمز ديالها Pa) ديال الضغط والسيمنس (الرمز ديالها S) ديال التوصيل الكهربائي للائحة ديال الوحدات المشتقة اللي مسميين.,ddorot 14 dyal GCPM (1971) zadat l'pascal (رمز dyalha Pa) dyal ddra d w ssimens (رمز dyalha S) dyal tawsil khrba2i ll'2i2a2i dyal l'w7dat lmshata lli msamyn.,The 14th GCPM ( 1971 ) added the pascal ( symbol Pa ) for pressure and the siemens ( symbol S ) for electrical conductance to the list of named derived units .,"أضافت الدورة الرابعة عشرة للمؤتمر العام للأوزان والمقاييس (1971) الباسكال (الرمز ""با"") للضغط والسيمنز (الرمز ""إس"") للموصلية الكهربائية إلى قائمة الوحدات المشتقة المسماة.",25,GENERATED
data51035,WIKI_C_04139,C,هاد الطريق كانت مركز ديال شحال من مجموعة عرقية ف لندن. فالتمنينات ديال القرن 19، بزاف ديال الإيرلنديين هاجرو باش يهربو من المجاعة ديال البطاطا و بداو كيبيعو فالشارع ف سوق وايت تشابل و على طول طريق وايت تشابل.,"had tri9 kanet merkez dyal sh7al mn group 3rqi f london. f tetmanynat dyal l9arn 19, bzaf dyal lirladiyin hajru bach yherbu mn lma9s3a dyal lbatata w bedaw kaybi3u f chare3 f souq whitechapel w 3la twal tri9 whitechapel.","The road has the been the centre of several ethnic minority groups in London . In the 1840s , many Irish emigrated to avoid the potato famine and began street selling at Whitechapel Market and along Whitechapel Road .",كانت المنطقة المحيطة بالطريق مركزًا لعدة مجموعات من الأقليات العرقية في لندن. في أربعينيات القرن التاسع عشر، هاجر العديد من الأيرلنديين لتجنب مجاعة البطاطس وبدأوا في بيع المنتجات في الشوارع في سوق وايت تشابل وعلى طول طريق وايت تشابل.,39,GENERATED
data51036,WIKI_C_09460,C,"فرانشيسك ""سيسك"" فابريغاس سولير (الكتالونية: [أصوات غير مفهومة]؛ تولد نهار 4 ماي 1987) هو لعّاب د الكورة صبنيولي كيلعب ف الوسط مع فرقة تشيلسي اللي فلانجليز و مع المنتخب ديال الصبليون.",franchesc 'cesc' fabregas soler (l-ktalonia: [mafhomsh]; twled nhar 4 may 1987) huwa la3ab d l-kora s-sbanyuli kayel3ab f l-wst m3a fer9a chelsea li f-l-ingliz w m3a l-montakhab dyal s-sbanyul.,"Francesc "" Cesc "" Fàbregas Soler ( Catalan : [ <unk> <unk> ] ; born 4 May 1987 ) is a Spanish professional footballer who plays as a central midfielder for English club Chelsea and the Spain national team .","فرانشيسك ""سيسك"" فابريغاس سولير (بالكتالونية: [غير مفهوم]؛ مواليد 4 مايو 1987) هو لاعب كرة قدم إسباني محترف يلعب في مركز خط الوسط المركزي مع نادي تشيلسي الإنجليزي ومنتخب إسبانيا الوطني.",31,GENERATED
data51037,WIKI_C_06853,C,ولد طوطارام التاني من مرتو اللولة، كيلوم على باه حيت مات خوه الكبير وهرب من الدار مورا ما هز مجوهرات ديال نيرمالا. فاللخر انتحر.,"weld totaram et-tani men mertou le-loula, kayloum 3la bah hit mat khouh el-kbir w hreb men ed-dar mora ma hz mejwherat dyal nirmala. fel-akher ntar.","<unk> , Totaram 's second son from his first wife ; he blames his father for the death of his older brother and flees from home after absconding with Nirmala 's jewelry . He eventually commits suicide .",الابن الثاني لطوطارام من زوجته الأولى؛ يلوم والده على وفاة أخيه الأكبر ويهرب من المنزل بعد الاستيلاء على مجوهرات نرمالا. في نهاية المطاف، ينتحر.,24,GENERATED
data51038,DATA_23034,B,"واحد السلسلة ديال الروايات ديال الجريمة ديال جيمس ويتوورث كادوز ف ويتبي. الجوج روايات اللوالا هما ""Death 's Disciple"" و ""The Eve of Murder"".","wa7ed s-selsla dyal r-riwayat dyal l-jerima dyal James Whitworth kaduz f Whitby. J-juj r-riwayat l-luwla huma ""Death's Disciple"" u ""The Eve of Murder"".",A crime novel series by James Whitworth is set in Whitby . The first two novels are Death 's Disciple and The Eve of Murder .,"تدور أحداث سلسلة روايات جريمة لجيمس ويتورث في ويتبي. الروايتان الأوليان هما ""تلميذ الموت"" و""عشية القتل"".",26,GENERATED
data51039,WIKI_C_07475,C,"الزواق ديال فيلم ""پاي"" (وحتى ""ريكويم فور أ دريم"") فيه بزاف ديال التشابه مع الفيلم الياباني تيتسو: الراجل الحديدي.","zzawag dyal film ""pi"" (w 7ta ""requiem for a dream"") fih bzaf dyal tshab m3a film l'yabani tetsuo: l'rajl l'hdidi.","The visual style of "" Pi "" ( and even "" Requiem for a Dream "" ) features numerous similarities to the Japanese film Tetsuo : The Iron Man .","يتميز النمط البصري لفيلم ""باي"" (وحتى ""قداس دريم"") بالعديد من أوجه التشابه مع الفيلم الياباني ""تيتسو: الرجل الحديدي"".",19,GENERATED
data51040,WIKI_C_09680,C,واحد التكنولوجيا سميتها كريسبر تكتشفات ف 2012. هاد التكنولوجيا الجديدة كتسمح لأي واحد قاري البيولوجيا الجزيئية يبدل الجينات ديال أي نوع بدقة.,wa7d technologie smitha crispr tktchet f 2012. had technologie jdidia katshmeh l ay wa7d qari biologie moleculaire ybdl jinat dyal ay nwa3 b diqa.,A technology named clustered regularly interspaced short palindromic repeat shortened to CRISPR @-@ <unk> was discovered in 2012 . The new technology allows anyone with molecular biology training to alter the genes of any species with precision .,"تم اكتشاف تقنية تسمى ""التكرارات العنقودية المتناظرة القصيرة المتباعدة بانتظام"" اختصاراً ""كريسبر"" في عام 2012. تسمح هذه التقنية الجديدة لأي شخص لديه تدريب في البيولوجيا الجزيئية بتعديل جينات أي نوع بدقة.",22,GENERATED
data51041,WIKI_C_04934,C,أوزيبيوس  <unk> (1845-1897) - مؤرخ، رجل دين فرانسيسكاني كبير، عالم اللاهوت، كيهضر بزاف ديال اللغات، و عضو فعال في الأكاديمية اليوغوسلافية للعلوم و الفنون.,"ouzebius <unk> (1845-1897) - mo7arikh, rajul din franciskani kbir, 3alim l-lahout, kayhdar bezzaf dyal lloghat, w 3adw فعال fi l-academy dyal yugoslavia dyal l3olum w l-founoun.","Eusebius <unk> ( 1845 – 1897 ) – historian , high @-@ ranking Franciscan cleric , theologian , polyglot , and active member of the Yugoslav Academy of Sciences and Arts",أوزيبيوس <unk> (1845 - 1897) - مؤرخ، ورجل دين فرنسيسكاني رفيع، وعالم لاهوت، ومتعدد اللغات، وعضو نشط في الأكاديمية اليوغوسلافية للعلوم والفنون.,24,GENERATED
data51042,WIKI_D_08164,D,"زدنكو بلاجيكوفيتش تزاد ف 23 شتنبر 1915 فمدينة بيهاش، ولد ديال سياسي محلي ""ميلان"" بلاجيكوفيتش. من عرق كرواتي، عائلة بلاجيكوفيتش منحدرة من قبائل ديال القرن 15 فمدينة ليڤنو.","zdenko blajikovich tzad f 23 shtnber 1915 fmdina bi7ach, wld dyal siyasi ma7ali ""milan"" blajikovich. mn 3erq kroati, 3aelt blajikovich mnadra mn 9abael dyal l9arn 15 fmdina livno.","Zdenko Blažeković was born on 23 September 1915 in the town of Bihać , the son of local politician <unk> "" Milan "" Blažeković . Ethnically Croat , the Blažeković family was descended from 15th century tribesmen in the town of Livno .","وُلد زدنكو بلاجيكوفيتش في الثالث والعشرين من سبتمبر عام 1915 في مدينة بيهاتش، وهو ابن السياسي المحلي ""ميلان"" بلاجيكوفيتش. من الناحية العرقية كرواتي، تنحدر عائلة بلاجيكوفيتش من رجال القبائل في القرن الخامس عشر في مدينة ليفنو.",28,GENERATED
data51043,DATA_4389,A,بصراحة، شي مرات كانتساءل منين كاياخدو الدراري الصغار تدريب فهاد الوقت,"bsar7a, chi marat kantsa2l mnin kayakhdo drari sghar tadrib fhad lwa9t","honestly, sometimes i wonder where you kids get your training nowadays",بصراحة، أتساءل أحيانًا من أين تحصلون على تدريبكم هذه الأيام,11,PARTIALLY VALIDATED
