data_id,id,classe,darija_arabic,darija_arabizi,english,modern_standard_arabic,english_word_count,status
data64039,DATA_22331,B,"داك المشهد ديال المحكمة اللي كيجيبو فيه شكاير بزاف عامرين بريوات ديال بابا نويل هو تقليد ساخر لفيلم ""ميريكل أون 34th ستريت"" ديال 1947.","dak l-mashhad dyal l-mahkama lli kayjibou fih shkayr bzzaf 3amrin briwwat dyal baba noel hua tqliid sakhir l-film ""miracle on 34th street"" dyal 1947.",The courtroom scene in which numerous sacks of letters to Santa Claus are delivered to court is a parody of the 1947 film Miracle on 34th Street .,"مشهد المحكمة الذي تُسلّم فيه أكياس عديدة من رسائل إلى بابا نويل إلى المحكمة هو محاكاة ساخرة لفيلم عام 1947 ""معجزة في الشارع 34"".",28,GENERATED
data64040,DATA_15609,B,السيطرة المدنية على الجيش تقليد مريكي كيرجع لتأسيس الجمهورية. فمذكراتو ديال 1956، ترومان كتب:,"Assaytara lmadaniya 3la l-jich taqlid mrikik kayrja3 lt-ta'sis l-jomhouriya. F moudakkarato dyal 1956, Truman ktab:","Civilian control of the military is an American tradition dating back to the founding of the republic . In his 1956 memoirs , Truman wrote :",السيطرة المدنية على الجيش تقليد أمريكي يعود تاريخه إلى تأسيس الجمهورية. وفي مذكراته عام 1956، كتب ترومان:,26,GENERATED
data64041,WIKI_D_03905,D,"في 1.163 مرة شعاع ديال الأرض، كيبل @-@ <unk> هو الكوكب اللول اللي تنكتشف قريب للأرض وقياس ديالو بحال القياس ديال الأرض في ""المنطقة الصالحة للحياة"" اللي دايرة بنجمة بحال الشمس من نوع G2 (23 يوليوز 2015).","f 1.163 mrra sh3a3 dyal l2rd, kaypla @-@ <unk> howa lkawkb llawl lli tnkchf qrib ll2rd wqyas dyalo bhal lqyas dyal l2rd f ""lmanTaqa lSaliHa lilHayat"" lli dayra bnjma bhal chms mn no3 g2 (23 yulyuz 2015).",At 1 @.@ 63 times Earth 's radius Kepler @-@ <unk> is the first discovered near @-@ Earth @-@ size planet in the “ habitable zone ” around a G2 @-@ type Sun @-@ like star ( 23 July 2015 ) .,"بقطر يبلغ 1.163 مرة قطر الأرض، يُعد كيبلر @-@ <unk> أول كوكب بحجم الأرض تم اكتشافه في ""المنطقة الصالحة للحياة"" حول نجم من النوع G2 شبيه بالشمس (23 يوليو 2015).",37,GENERATED
data64042,WIKI_D_07215,D,"ماثيو روبرت ""مات"" سميث (تزاد ف 28 أكتوبر 1982) ممثل إنجليزي. معروف بزاف بالدور ديالو كا الدكتور الحادي عشر فالسلسلة د الخيال العلمي ديال بي بي سي دكتور هو، واللي ترشح عليه لجائزة بافتا ف 2011.","matyu rubart ""mat"" smit (tzad f 28 oktobar 1982) momathil ingilizi. ma3ruf bzaf b-dor dyalu ka-d-duktur l-xadiy 3ashar f-salsila d-l-xayal l-3ilmi dyal bbc duktur hu, w-lli trshh 3lih li-ja2izt BAFTA f 2011.","Matthew Robert "" Matt "" Smith ( born 28 October 1982 ) is an English actor . He is best known for his role as the Eleventh Doctor in the BBC science fiction series Doctor Who , for which he received a BAFTA Award nomination in 2011 .","ماثيو روبرت ""مات"" سميث (مواليد 28 أكتوبر 1982) هو ممثل إنجليزي. يشتهر بدوره في دور الدكتور الحادي عشر في المسلسل التلفزيوني الخيال العلمي ""دكتور هو"" الذي أنتجته بي بي سي، والذي رشح عنه لجائزة بافتا في عام 2011.",36,GENERATED
data64043,DATA_23662,B,"9 يونيو 2015 — روان لمونطاني، 24,5 كلم (15,2 ميل) (TTT)","9 younyo 2015 — Rwan Lemontani, 24,5 km (15,2 mil) (TTT)","9 June 2015 — Roanne to Montagny , 24 @.@ 5 km ( 15 @.@ 2 mi ) ( TTT )",9 يونيو 2015 — روان إلى مونتاجني، 4. 25 كم ( 15. 2 ميل) (سباق الفرق للفرق),21,GENERATED
data64044,DATA_21835,B,الحوت، هاميلتون، (1849 – 1936). دليل السيرة الذاتية للكونغرس الأمريكي. تم الاسترجاع 2011 @-@ 09 @-@ 17.,"l-hut, hamilton, (1849 – 1936). dlil siira datiya l-l-kongris l-amriki. tmm l-istirja3 2011 @-@ 09 @-@ 17.",""" Fish , Hamilton , ( 1849 – 1936 ) "" . Biographical Directory of the United States Congress . Retrieved 2011 @-@ 09 @-@ 17 .",فيش، هاميلتون (1849 – 1936). الدليل البيوغرافي للكونغرس الأمريكي. تم الاسترداد في 17-09-2011.,27,GENERATED
data64045,WIKI_C_03627,C,فوقاش كان ف لامارين كان هو الشومبيون ديال البوكس ديال لامارين ف شحال من وزن و كان كيدرّس البوكس ف الاكاديميّة ديال لامارين ف أناپوليس، ماريلاند.,"fawqash kan f lmarin kan howa champion dyal lbox dyal lmarin f shhal mn wazn w kan kidrs lbox f l'akadimiya dyal lmarin f Annapolis, Maryland.","During his time in the Navy , he was the Navy boxing champion in several different weight classifications throughout is Navy career and was a boxing instructor at the United States Naval Academy in Annapolis , Maryland .",خلال فترة خدمته في البحرية، كان بطل البحرية في الملاكمة في فئات وزن مختلفة طوال مسيرته البحرية وكان مدرب ملاكمة في الأكاديمية البحرية الأمريكية في أنابوليس بولاية ماريلاند.,26,GENERATED
data64046,WIKI_C_01943,C,حيت السي ساركار كان كيعرف مدينة كولكاتا مزيان، الفيلم تصور تما بالأساس. واخا أغلبية الفيلم تصورت فكولكاتا، واحد الشوية تصور فدارجيلينغ.,"7it ssi sarkar kan ky3ref mdinti kolkata mzyan, lfilm tswwer tma bl asAs. wakha aghlabiya lfilm tswwert f kolkata, wa7d chi schwiya tswwer f darjeeling.","Since Sarkar knew the city of Kolkata very well , the film was primarily shot there . While most of the film was made in Kolkata , a small portion was shot in Darjeeling .",بما أن ساركار كان يعرف مدينة كولكاتا جيدًا، فقد تم تصوير الفيلم بشكل أساسي هناك. بينما تم إنتاج معظم الفيلم في كولكاتا، تم تصوير جزء صغير في دارجيلنغ.,21,GENERATED
data64047,WIKI_D_01227,D,بلا تبني ناسا لهاد الرأي القليل اللي كانو متبتين فيه فـ 1962، يمكن تكون ميريكان وصلات للقمر، ولكن تقريبا مامتيقاش كانت غادي توصل ليه قبل ما يسالي الستينات، التاريخ اللي حدد الرئيس كينيدي.,"bla tabanni nasa lhad ray l9lil lli kanou mtabtin fih f 1962, ymken tkoun mirikan waslat l 9mer, walakin ta9riban mamt9ach kant ghadi tsil lih 9bel ma ysl el 6inat, tarikh lli 7added ra2is kennedy.","Without NASA 's adoption of this stubbornly held minority opinion in 1962 , the United States may still have reached the Moon , but almost certainly it would not have been accomplished by the end of the 1960s , President Kennedy 's target date .",بدون تبني وكالة ناسا لهذه الفكرة التي كان يتمسك بها أقلية بشدة في عام 1962، ربما كانت الولايات المتحدة قد وصلت إلى القمر، ولكن على الأرجح لم يكن ذلك ليتحقق بحلول نهاية الستينيات، وهو الموعد المستهدف للرئيس كينيدي.,33,GENERATED
data64048,WIKI_D_01543,D,"كورتيس حاول يميز خدمتو على الفيلم ديال مور، وصف مور بـ ""صانع أفلام ديال التحريض السياسي""، و قال "" صعيب باش تعرف السياسة ديالي من المشاهدة ديال [ The Power of Nightmares ].""","kurtis 7awel yemayyez khdemto 3la lfilm dyal moore, wssef moore b ""sane3 aflam dyal ta7rid siyasi"", w qal ""s3ib bach t3ref siyasti mn lmouchahada dyal [l9owat dial likwabis]"".","Curtis has attempted to distinguish his work from Moore 's film , describing Moore as "" a political agitprop film @-@ maker , "" arguing that , "" you 'd be hard pushed to tell my politics from watching [ The Power of Nightmares ] . ""","حاول كيرتس أن يميز عمله عن فيلم مور، واصفًا مور بأنه ""صانع أفلام دعائية سياسية""، ومؤكدًا أن ""من الصعب جدًا أن تميز سياساتي من خلال مشاهدة [قوة الكوابيس]"".",33,GENERATED
