id,classe,darija_arabic,darija_arabizi,english,modern_standard_arabic,sonde
DATA_4012,A,بصراحة، استخدام التومة ما كاينسبش شي حد بحالي!,"bssara7a, s-tikhdam t-touma makaynasbch chi 7ed b7ali!","Honestly, using the garlic doesn't suit anyone like me!",بصراحة، استخدام الثوم لا يناسب أحدًا مثلي!,classe_A
DATA_6563,A,القهوة كانت قاسحة ومجهدة,l9ehwa kant 9as7a ou mjehda,The coffee was strong and intense,كانت القهوة قوية ومركزة	,classe_A
DATA_1203,A,و كي كاتحسّي؟,o ki kat7essi?,How are you feeling?,كيف تشعر؟,classe_A
DATA_9977,A,كان كيسحاب ليا غادي يسلفني دوك الفلوس لي باغي,kan kis7ab liya ghadi ysellefni douk lflouss li baghi,I thought he was going to lend me that money I want.,كنت أعتقد أنه سيقرضني تلك الأموال التي أريدها.,classe_A
DATA_8424,A,راه سابق لينا كارين هاد الدار,rah sabe9 lina karin had dar,We have rented this house before,لقد سبق لنا استئجار هذه الدار,classe_A
DATA_3888,A,واحد المرة نسيت منسد الباب,wa7ad lmra nsit mnsad lbab,One time I forgot to close the door.,في مرة نسيت أن أغلق الباب.,classe_A
DATA_3590,A,واش نقد ليك شوكولاط سخون؟,wach n9ad lik choklat skhon?,Can I offer you hot chocolate?,هل يمكنني أن أقدم لك شوكولاتة ساخنة؟,classe_A
DATA_10845,A,تعطلتي بزاف باش تبدل تليفون.,t3etli bezzaf bach tbedel telephone.,You take a long time to change your phone.,أخذت وقتًا طويلاً لتغيير هاتفك.,classe_A
DATA_5513,A,كان لابس صبّاط ديال الطلون,kan labs SebbaT dyl ttaloun,He was wearing high-heeled shoes,كان يرتدي حذاءً ذا كعب عالٍ,classe_A
DATA_4034,A,مورا شوية ديال المشروبات، من المحتمل يكونو جاهزين للكاراوكي,"mora chwiya dyal lmachrobat, mn lmo7tamal ykono jahzin l karaoke","After a little bit of drinks, they are likely to be ready for karaoke.",بعد قليل من المشروبات، من المحتمل أن يكونوا جاهزين للكاريوكي.,classe_A
DATA_4374,A,غدا إمكان ليا نسوڭ بيك للخدمة,ghda imkan liya nsog bik lkhdma,Tomorrow I can drive you to work,غداً يمكنني أن أقلك إلى العمل,classe_A
DATA_0792,A,سمح ليا، كنظن عندي نمرة غلط,"sm7 lia, kanzhnn 3ndi nmra ghalaT","Sorry, I think I have the wrong number.",عذرًا، أعتقد أن لدي رقمًا خاطئًا.,classe_A
DATA_0576,A,"حاجة خرا, واش شفتي, شمش راه رجعات!","7aja khra, wach chfti, chmch rah rj3at!","Something else, did you see, the sun has returned!",شيء آخر، هل رأيت، الشمس قد عادت!,classe_A
DATA_4408,A,قلب على سبب واجيه لشي زردة بين زملاء، بلانها، و عياط عليه,"9llb 3la sbab wajih lchi zrda bin zomala2, blaniha, o 3yaT 3lih","He looked for a good reason for a feast among colleagues, planned it, and called him",بحث عن سبب وجيه لإقامة مأدبة بين الزملاء، خطط لها، واستدعه,classe_A
DATA_10991,A,تعطلي بزّاف باش بلّغ عليه لبوليس,t3etli bezzaf bach bllegh 3lih lbouliss,You take a long time to report him to the police.,تأخذ وقتًا طويلاً للإبلاغ عنه للشرطة.,classe_A
DATA_12149,A,عمرك تحاول تستوعب هاد الدرس,3emrek t 7awel tstow3eb had derss,never try to understand this lesson,لا تحاول أبداً استيعاب هذا الدرس,classe_A
DATA_6397,A,مكاين ما حسن من كاس ديال البيرة ف الصيف,makayn ma7ssen mn kass dial lbira fsayf,There's nothing better than a glass of beer in summer.,لا يوجد ما هو أفضل من كأس من البيرة في الصيف.,classe_A
DATA_7749,A,و ديري عليهم شي عكيسان زيت,u diri 3lihom chi 3kisan zit,And put some oil on them.,وضعي عليهم بعض الزيت.,classe_A
