data_id,id,classe,darija_arabic,darija_arabizi,english,modern_standard_arabic,status,dataset_type
data51034,WIKI_C_10756,C,الدورة 14 ديال جي سي بي إم (1971) زادت الباسكال (الرمز ديالها با) ديال الضغط والسيمنس (الرمز ديالها س) ديال التوصيل الكهربائي للائحة ديال الوحدات المشتقة اللي مسميين.,Ddawra 14 dyal CGPM (1971) zadat l-Pascal (r-ramz dyalha Pa) dyal ddaght w s-Siemens (r-ramz dyalha S) dyal ttawsil l-kahraba2i l l-la2i7a dyal l-wa7adat l-mouchtaqqa lli msamyine.,The 14th session of the CGPM (1971) added the pascal (symbol Pa) for pressure and the siemens (symbol S) for electrical conductance to the list of named derived units.,"أضافت الدورة الرابعة عشرة للمؤتمر العام للأوزان والمقاييس (1971) الباسكال (الرمز ""با"") للضغط والسيمنز (الرمز ""إس"") للموصلية الكهربائية إلى قائمة الوحدات المشتقة المسماة.",VALIDATED,GOLD
data51035,WIKI_C_04139,C,هاد الطريق كانت مركز ديال شحال من مجموعة عرقية ف لندن. فالتمنينات ديال القرن 19، بزاف ديال الإيرلنديين هاجرو باش يهربو من المجاعة ديال البطاطا و بداو كيبيعو فالشارع ف سوق وايت تشابل و على طول طريق وايت تشابل.,"had tri9 kanet merkez dyal sh7al mn group 3rqi f london. f tetmanynat dyal l9arn 19, bzaf dyal lirladiyin hajru bach yherbu mn lmaja3a dyal lbatata w bedaw kaybi3u f chare3 f souq whitechapel w 3la twal tri9 whitechapel.","This street was a center for many ethnic groups in London. In the eighties of the 19th century, many Irish emigrated to escape the potato famine and started selling in the street at the Whitechapel market and along Whitechapel Road.",كان هذا الطريق مركزاً للعديد من المجموعات العرقية في لندن. في ثمانينيات القرن التاسع عشر، هاجر الكثير من الأيرلنديين هرباً من مجاعة البطاطس، وبدأوا يبيعون في الشارع في سوق وايت تشابل وعلى طول طريق وايت تشابل.,VALIDATED,GOLD
data51036,WIKI_C_09460,C,فرانشيسك سيسك فابريغاس سولير ب لكتالونية فرانسيسك فابريغاس تولد نهار 4 ماي 1987 هو لعاب د لكورة صبنيولي كيلعب ف لوسط مع فرقة تشيلسي اللي ف لنجليز ومع لمنتخب ديال صبانيا,francesc cesc fabregas soler l-kataloniya francesc fabregas twled nhar 4 may 1987 huwa la3eb d l-kora s-spanyoli k-y-le3b f l-wost m3a ferqat chelsea lli f l-ingliz w-m3a l-montakhab dyal spanya,Francesc Cesc Fabregas Soler born May 4 1987 is a Spanish footballer who plays as a midfielder for the English club Chelsea and the Spanish national team,فرانشيسك سيسك فابريغاس سولير ولد في 4 من مايو 1987 هو لاعب كرة قدم إسباني يلعب في خط الوسط مع نادي تشيلسي الإنجليزي ومع المنتخب الإسباني,VALIDATED,GOLD
data51037,WIKI_C_06853,C,ولد طوطارام التاني من مرتو اللولة، كيلوم على باه حيت مات خوه الكبير وهرب من الدار مورا ما هز مجوهرات ديال نيرمالا. فاللخر انتحر.,"weld totaram et-tani men mertou le-loula, kayloum 3la bah hit mat khouh el-kbir w hreb men ed-dar mora ma hz mejwherat dyal nirmala. fel-akher nta7r.",Totaram 's second son from his first wife; he blames his father for the death of his older brother and escape from home after stealing Nirmala 's jewelry . He eventually commits suicide .,الابن الثاني لطوطارام من زوجته الأولى؛ يلوم والده على وفاة أخيه الأكبر وهرب من المنزل بعد الاستيلاء على مجوهرات نرمالا. في نهاية المطاف، ينتحر.,VALIDATED,GOLD
data51038,DATA_23034,B,"واحد السلسلة ديال الروايات ديال الجريمة ديال جيمس ويتوورث كادوز ف ويتبي. الجوج روايات اللوالا هما ""ديتس دسيبل"" و ""ده إيف أف مردر"".","wa7ed s-selsla dyal r-riwayat dyal l-jerima dyal James Whitworth kaduz f Whitby. J-juj r-riwayat l-luwla huma ""Death's Disciple"" u ""The Eve of Murder"".","A crime novel series by James Whitworth is set in Whitby . The first two novels are ""Death 's Disciple"" and ""The Eve of Murder"" .","تدور أحداث سلسلة روايات جريمة لجيمس ويتورث في "".ويتبي. الروايتان الأوليان هما ""تلميذ الموت"" و""عشية القتل",VALIDATED,GOLD
data51039,WIKI_C_07475,C,"الزواق ديال فيلم ""پاي"" (وحتى ""ريكويم فور أ دريم"") فيه بزاف ديال التشابه مع الفيلم الياباني تيتسو: الراجل الحديدي.","zzawag dyal film ""pi"" (w 7ta ""requiem for a dream"") fih bzaf dyal tshab m3a film l'yabani tetsuo: r-rajl l-7adidi.","The visual style of ""Pi"" (and even ""Requiem for a Dream"") has numerous similarities to the Japanese film Tetsu: The Iron Man.","يتميز النمط البصري لفيلم ""باي"" (وحتى ""قداس دريم"") بالعديد من أوجه التشابه مع الفيلم الياباني ""تيتسو: الرجل الحديدي"".",VALIDATED,GOLD
data51040,WIKI_C_09680,C,واحد التكنولوجيا سميتها كريسبر تكتشفات ف 2012. هاد التكنولوجيا الجديدة كتسمح لأي واحد قاري البيولوجيا الجزيئية يبدل الجينات ديال أي نوع بدقة.,wa7d technologie smitha crispr tktchfat f 2012. had technologie jdidia katssmeh l ay wa7d qari biologie moleculaire ybdl jinat dyal ay nwa3 b diqa.,A technology named CRISPR was discovered in 2012 . This new technology allows anyone with molecular biology training to alter the genes of any species with precision .,تم اكتشاف تقنية تسمى كريسبر في عام 2012. تسمح هذه التقنية الجديدة لأي شخص لديه تدريب في البيولوجيا الجزيئية بتعديل جينات أي نوع بدقة.,VALIDATED,GOLD
data51041,WIKI_C_04934,C,أوزيبيوس ليال (1845-1897) - مؤرخ، رجل دين فرانسيسكاني كبير، عالم اللاهوت، كيهضر بزاف ديال اللغات، و عضو فعال في الأكاديمية اليوغوسلافية للعلوم و الفنون.,"ouzebius lyal (1845-1897) - mo7arikh, rajul din franciskani kbir, 3alim l-lahout, kayhdar bezzaf dyal lloghat, w 3adw f3al fi l-academy dyal yugoslavia dyal l3olum w l-founoun.","Eusebio Leal ( 1845 – 1897 ) – historian , high ranking Franciscan cleric, theologian, polyglot, and active member of the Yugoslav Academy of Sciences and Arts",أوزيبيو ليال (1845 - 1897) - مؤرخ، ورجل دين فرنسيسكاني رفيع، وعالم لاهوت، ومتعدد اللغات، وعضو نشط في الأكاديمية اليوغوسلافية للعلوم والفنون.,VALIDATED,GOLD
data51042,WIKI_D_08164,D,"زدنكو بلاجيكوفيتش تزاد ف 23 شتنبر 1915 فمدينة بيهاش، ولد ديال سياسي محلي ""ميلان"" بلاجيكوفيتش. من عرق كرواتي، عائلة بلاجيكوفيتش منحدرة من قبائل ديال القرن 15 فمدينة ليڤنو.","zdenko blajikovich tzad f 23 shtnber 1915 fmdina bi7ach, wld dyal siyasi ma7ali ""milan"" blajikovich. mn 3erq kroati, 3aelt blajikovich mnadra mn 9abael dyal l9arn 15 fmdina livno.","Zdenko Blažeković was born on 23 September 1915 in the town of Bihać , the son of local politician "" Milan "" Blažeković . Ethnically Croat , the Blažeković family was descended from 15th century tribesmen in the town of Livno .","وُلد زدنكو بلاجيكوفيتش في الثالث والعشرين من سبتمبر عام 1915 في مدينة بيهاتش، وهو ابن السياسي المحلي ""ميلان"" بلاجيكوفيتش. من الناحية العرقية كرواتي، تنحدر عائلة بلاجيكوفيتش من رجال القبائل في القرن الخامس عشر في مدينة ليفنو.",VALIDATED,GOLD
data51043,DATA_4389,A,بصراحة، شي مرات كانتساءل منين كاياخدو الدراري الصغار تدريب فهاد الوقت,"bsar7a, chi marat kantsa2l mnin kayakhdo drari sghar tadrib fhad lwa9t","honestly, sometimes i wonder where kids get training nowadays",بصراحة، أحياناً أتساءل أين يتلقى الأطفال تدريبهم هذه الأيام,VALIDATED,GOLD
