data_id,id,classe,colonne,artefact,valeur
data51053,DATA_16419,B,darija_arabic,espaces doubles,"برا المصارعة المحترفة، دار بزاف ديال الظهورات كضيف ف الأفلام و  التلفزة، و منها الدور الرئيسي ف فيلم ""ذا تشابيرون"" اللي ..."
data51053,DATA_16419,B,modern_standard_arabic,espaces doubles,"بعيداً عن عالم مصارعة المحترفين،  ظهر عدة مرات كضيف في السينما والتلفزيون، بما في ذلك دور البطولة في فيلم ""ذا تشابيرون"" ..."
data51059,DATA_7330,A,modern_standard_arabic,espaces doubles,لقد أثمر تدريبنا  و استعدادنا كثيرا في مباراة اليوم
data51063,WIKI_D_08734,D,darija_arabic,espaces doubles,"السلسلة تصوّرات فبرلين الغربية و مارساي كإنتاج مشترك ألماني غربي، فرنسي و أمريكي من طرف ""إنتركونتيننتال تلفزيون فيلمز"". ..."
data51093,WIKI_D_03779,D,darija_arabic,espaces doubles,كاسان، جان ماري؛ كورساك، ماريولا (2001). د أسماء ديال و الدواور. جان  ماري ص. 92. أي إس بي إن 978-2-40-5.
data51098,WIKI_C_05258,C,modern_standard_arabic,espaces doubles,على مر السنين، سُمّي ماكارتني أحد المؤثرين الصوتيين البارزين من قبل عدد من الفنانين المشهورين، بما في ذلك كريس كورنيل، و...
data51119,WIKI_C_04276,C,english,espaces doubles,"The current belt consists primarily of three categories of asteroids: C type or carbonaceous asteroids, S type or silica..."
data51121,WIKI_C_06338,C,english,<unk>/unknown,"Given the planet 's high mass, the planet is a gas giant with no solid surface. Since the planet has only been detected ..."
data51123,DATA_22840,B,darija_arabic,espaces doubles,ربحو مجموعين 12 لبطولة  ديال روما مورًّا على بعضياتهم من 2005. فهاد المدة، نادال ربح 7، دجوكوفيتش 4، وموراي 1.
data51137,DATA_17817,B,modern_standard_arabic,espaces doubles,إن تركيب هذه الخرائط ممكن، وهذا يعطي حلقة المصفوفات مصفوفات  إن × إن التي تمثل حلقة التشاكل الذاتي للفضاء رن.
data51143,WIKI_D_10295,D,darija_arabic,espaces doubles,بهارات كاول بدور راجيش أرورا – البوليسي اللي مكلف يسيطر ويحافظ على القانون والنظام فديك لبلاصة اللي فيها الروينة  تعرف ع...
data51178,WIKI_D_09946,D,darija_arabizi,espaces doubles,"malcom makkulok, ostad tṭib nnafsi ljina2i fjami3at cardiff, lamaḥ blli had drib, w dour lli la3b baha d hindley fih, yi..."
data51178,WIKI_D_09946,D,english,espaces doubles,"Malcolm MacCulloch , professor of forensic psychiatry at Cardiff University , suggested that this beating, and the part ..."
data51210,DATA_21312,B,darija_arabic,LATIN dans Darija Arabic,"1964 – 65 , 1973 – 74 , 1985 – 86 , 1988 – 89 , 1991 – 92 , 2000 – 01 , 2005 – 06"
data51216,DATA_22175,B,darija_arabic,espaces doubles,"على معدل مرجح، سلم 100 نقطة، التقرير ديال الكشاف ديال نايكيرك لـ ""البيسبول  كيوب"" هو كالآتي:"
data51221,DATA_13680,B,darija_arabic,espaces doubles,بدات الخدمة على فيلم تمبريتشيرز رايزين في غشت 1972، والتصوير كان ف بوربانك استوديوزف بوربانك  كاليفورنيا.
data51237,WIKI_C_06735,C,english,espaces doubles,Uruguay and Argentina's massive semi-final wins set up a final that was a repeat of the 1928 Olympic match which Uruguay...
data51262,WIKI_D_08618,D,darija_arabic,espaces doubles,نهار 4  دجنبر 1996، الجريدة دارت واحد الحفلة باش يحتفلوا بالذكرى 50 ديال غرس الشجرة الجديدة. دان ماڭيل، اللي كان هو اللي...
data51271,WIKI_D_06462,D,darija_arabic,espaces doubles,ف شهر أبريل 2012، واحد لمحكمة ف هامبورغ حكمات باللي يوتيوب يقدر يتحمل المسؤولية على المحتوى لي فيه حقوق الطبع والنشر لي ...
data51290,WIKI_C_01545,C,modern_standard_arabic,espaces doubles,أنشئْ مثلثاً ثانياً طولُ ضلعيهِ  أ  و ب ويحتوي على زاويةٍ قائمة. وبناءً على مبرهنةِ فيثاغورس، يتبينُ أنَّ وترَ هذا المثل...
data51317,DATA_21405,B,modern_standard_arabic,espaces doubles,حصلَ على أوراقِ البلوطِ رقم 266 في 2 أغسطس 1943 بصفتهِ ملازماً أولَ (ضابط حرب) وقائداً للسربِ السابع  7/جي جي 5.
data51318,DATA_2859,A,darija_arabic,phrase tronquée,لي كانقصد هو راه ماكانش الخطأ ديالي...
data51318,DATA_2859,A,darija_arabizi,phrase tronquée,li kan9sad hwa rah makanch lkhata2 dyali...
data51318,DATA_2859,A,english,phrase tronquée,I mean it wasn't really my fault...
data51318,DATA_2859,A,modern_standard_arabic,phrase tronquée,أعني، لم يكن الأمر خطئي حقًا...
data51323,WIKI_D_08448,D,darija_arabic,espaces doubles,"بيزلي وݣولد كيشوفو باللي تومسون شاف الشكل ""كنتيجة لقوى ديناميكية.. تشكلات بتدفقات الطاقة ومراحل النمو"". وكيمدحو ""كتابتو ..."
data51329,DATA_12755,B,darija_arabic,espaces doubles,"حومپتي كيبان في رواية  ""مورا الزاج"" ديال لويس كارول (1872)، فين كيهضر مع أليس على المعاني وكيفاش الكلام كيتفهم."
data51467,DATA_19909,B,english,espaces doubles,"""The Liberty Bell""  (1893) (later used as credits theme for Monty Python 's Flying Circus TV series)."
data51467,DATA_19909,B,modern_standard_arabic,espaces doubles,"  ""جرس الحرية"" (عام 1893) (استخدم لاحقاً كموسيقى تصويرية لبرنامج .تلفزيون مونتي بايثون للطيران السيرك)"
data51483,WIKI_C_04948,C,darija_arabizi,espaces doubles,"f sbah 8 d dounbir,  u-43 t3rdat l hojoum mn tarf tayara ma ma3rofinsh w tkhssret bzzf. rje3at l wilhelmshaven 6 ayam mu..."
data51490,WIKI_D_05629,D,darija_arabic,espaces doubles,الاندلاع ديال الصراع عطى الذريعة للعنف بين ميرينا ديال الجبال والملغاشيين الساحليين من مجموعات عرقية أخرى. شي 1900 حتى 5...
