data_id,id,classe,darija_arabic,darija_arabizi,english,modern_standard_arabic,english_word_count,status
data64039,DATA_22331,B,"داك المشهد ديال المحكمة اللي كيجيبو فيه شكاير بزاف عامرين بريوات ديال بابا نويل هو تقليد ساخر لفيلم ""ميريكل أون 34th ستريت"" ديال 1947.","dak l-mashhad dyal l-mahkama lli kayjibou fih shkayr bzzaf 3amrin briwwat dyal baba noel hua tqliid sakhir l-film ""miracle on 34th street"" dyal 1947.","That courtroom scene where they bring in a lot of Santa Claus bags is a satirical imitation of the 1947 film ""Miracle on 34th Street.""","ذلك المشهد في المحكمة الذي يحضرون فيه أكياس كثيرة مليئة بهدايا بابا نويل هو تقليد ساخر لفيلم ""معجزة في الشارع 34"" لعام 1947.",25,VALIDATED
data64040,DATA_15609,B,السيطرة المدنية على الجيش تقليد مريكي كيرجع لتأسيس الجمهورية. فمذكراتو ديال 1956، ترومان كتب:,"Assaytara lmadaniya 3la l-jich taqlid mrikik kayrja3 lt-ta'sis l-jomhouriya. F moudakkarato dyal 1956, Truman ktab:","Civilian control over the military is an American tradition that dates back to the founding of the republic. In his notes from 1956, Truman wrote:",السيطرة المدنية على الجيش تقليد أمريكي يعود إلى تأسيس الجمهورية. في مذكراته عام 1956، كتب ترومان:,25,VALIDATED
data64041,WIKI_D_03905,D,"في 1.163 مرة شعاع ديال الأرض، كوكب هو الكوكب اللول اللي تنكتشف قريب للأرض وقياس ديالو بحال القياس ديال الأرض في ""المنطقة الصالحة للحياة"" اللي دايرة بنجمة بحال الشمس من نوع G2 (23 يوليوز 2015).","f 1.163 mrra sh3a3 dyal l2rd, kawkab howa lkawkb llawl lli tnkchf qrib ll2rd wqyas dyalo bhal lqyas dyal l2rd f ""lmanTaqa lSaliHa lilHayat"" lli dayra bnjma bhal chms mn no3 g2 (23 yulyuz 2015).","In 1.163 times the Earth's radius, the planet is the first discovered close to Earth, and its size is similar to that of Earth in the ""habitable zone"" surrounding a star like the Sun of type G2 (July 23, 2015).","في 1.163 مرة من شعاع الأرض، الكوكب هو الكوكب الأول الذي تم اكتشافه قريبًا من الأرض، وقياسه مشابه لقياس الأرض في ""المنطقة الصالحة للحياة"" المحيطة بنجمة مثل الشمس من نوع G2 (23 يوليو 2015).",40,VALIDATED
data64042,WIKI_D_07215,D,"ماثيو روبرت ""مات"" سميث (تزاد ف 28 أكتوبر 1982) ممثل إنجليزي. معروف بزاف بالدور ديالو كا الدكتور الحادي عشر فالسلسلة د الخيال العلمي ديال بي بي سي دكتور هو، واللي ترشح عليه لجائزة بافتا ف 2011.","matyu rubart ""mat"" smit (tzad f 28 oktobar 1982) momathil ingilizi. ma3ruf bzaf b-dor dyalu ka-d-duktur l-xadiy 3ashar f-salsila d-l-xayal l-3ilmi dyal bbc duktur hu, w-lli trshh 3lih li-ja2izt BAFTA f 2011.","Matthew Robert ""Matt"" Smith (born October 28, 1982) is an English actor. He is well known for his role as the Eleventh Doctor in the BBC science fiction series Doctor Who, for which he was nominated for a BAFTA award in 2011.","ماثيو روبرت ""مات"" سميث (ولد في 28 أكتوبر 1982) هو ممثل إنجليزي. معروف جدًا بدوره كالدكتور الحادي عشر في سلسلة الخيال العلمي التابعة لهيئة الإذاعة البريطانية ""دكتور هو""، والتي تم ترشيحه لجائزة بافتا عنها في عام 2011.",42,VALIDATED
data64043,DATA_23662,B,"9 يونيو 2015 — روان لمونطاني، 24,5 كلم (15,2 ميل) (TTT)","9 younyo 2015 — Rwan Lemontani, 24,5 km (15,2 mil) (TTT)","June 9, 2015 — Rwan Lemontani, 24.5 km (15.2 miles) (TTT)",9 يونيو 2015 — روان لمونطاني، 24.5 كيلومتر (15.2 ميل) (TTT),11,VALIDATED
data64044,DATA_21835,B,الحوت، هاميلتون، (1849 – 1936). دليل السيرة الذاتية للكونغرس الأمريكي. تم الاسترجاع 2011 09 17.,"l-hut, hamilton, (1849 – 1936). dlil siira datiya l-l-kongris l-amriki. tmm l-istirja3 2011 09 17.","The fish, Hamilton, (1849 – 1936). A guide to the American congressional biography. Retrieved 2011 09 17.",الحوت، هاميلتون، (1849 – 1936). دليل السيرة الذاتية للكونغرس الأمريكي. تم الاسترجاع 2011 09 17.,17,VALIDATED
data64045,WIKI_C_03627,C,فوقاش كان ف لامارين كان هو الشومبيون ديال البوكس ديال لامارين ف شحال من وزن و كان كيدرّس البوكس ف الأكاديميّة ديال لامارين ف أناپوليس، ماريلاند.,"fawqash kan f lmarin kan howa champion dyal lbox dyal lmarin f shhal mn wazn w kan kidrs lbox f l'akadimiya dyal lmarin f Annapolis, Maryland.","When he was in the Marines, he was the boxing champion of the Marines in several weight classes and he taught boxing at the Marine Academy in Annapolis, Maryland.",متى كان في مشاة البحرية، كان بطل الملاكمة لمشاة البحرية في عدة أوزان وكان يدرس الملاكمة في الأكاديمية البحرية في أنابوليس، ماريلاند.,29,VALIDATED
data64046,WIKI_C_01943,C,حيت السي ساركار كان كيعرف مدينة كولكاتا مزيان، الفيلم تصور تما بالأساس. واخا أغلبية الفيلم تصورت فكولكاتا، واحد الشوية تصور فدارجيلينغ.,"7it ssi sarkar kan ky3ref mdinti kolkata mzyan, lfilm tswwer tma bl asAs. wakha aghlabiya lfilm tswwert f kolkata, wa7d chi schwiya tswwer f darjeeling.","Since Mr. Sarkar knew the city of Kolkata well, the film was primarily shot there. Although most of the film was shot in Kolkata, a little bit was filmed in Darjeeling.",لأن السيد ساركار كان يعرف مدينة كولكاتا جيدًا، تم تصوير الفيلم هناك بشكل أساسي. على الرغم من أن معظم الفيلم تم تصويره في كولكاتا، إلا أن جزءًا صغيرًا تم تصويره في دارجيلينغ.,31,VALIDATED
data64047,WIKI_D_01227,D,بلا تبني ناسا لهاد الرأي القليل اللي كانوا متبتين فيه فـ 1962، يمكن تكون ميريكان وصلات للقمر، ولكن تقريبا مامتيقاش كانت غادي توصل ليه قبل ما يسالي الستينات، التاريخ اللي حدد الرئيس كينيدي.,"bla tabanni nasa lhad ray l9lil lli kanou mtabtin fih f 1962, ymken tkoun mirikan waslat l9mer, walakin ta9riban mamt9ach kant ghadi tsil lih 9bel ma ysl el 6inat, tarikh lli 7added ra2is kennedy.","Without adopting the little opinion that was established in 1962, it may be that America reached the moon, but it almost seems that it wouldn't have reached it before the end of the sixties, the date set by President Kennedy.",دون تبني الرأي القليل الذي تم تثبيته في عام 1962، قد تكون أمريكا قد وصلت إلى القمر، ولكن يبدو تقريبًا أنها لم تكن ستصل إليه قبل نهاية الستينيات، التاريخ الذي حدده الرئيس كينيدي.,40,VALIDATED
data64048,WIKI_D_01543,D,"كورتيس حاول يميز خدمتو على الفيلم ديال مور، وصف مور بـ ""صانع أفلام ديال التحريض السياسي""، و قال ""صعيب باش تعرف السياسة ديالي من المشاهدة ديال [قوة الكوابيس]"".","kurtis 7awel yemayyez khdemto 3la lfilm dyal moore, wssef moore b ""sane3 aflam dyal ta7rid siyasi"", w qal ""s3ib bach t3ref siyasti mn lmouchahada dyal [l9owat dial likwabis]"".","Curtis tried to distinguish his work from Moore's film, describing Moore as ""a filmmaker of political provocation,"" and said, ""It's hard to know my politics from watching [The Power of Nightmares].""","حاول كورتيس تمييز عمله عن فيلم مور، واصفًا مور بأنه ""صانع أفلام تحريض سياسي""، وقال: ""من الصعب معرفة سياستي من مشاهدة [قوة الكوابيس].""",31,VALIDATED
