data_id,id,classe,darija_arabic,darija_arabizi,english,modern_standard_arabic,english_word_count,status
data64039,DATA_22331,B,"داك المشهد ديال المحكمة اللي كيجيبو فيه شكاير بزاف عامرين بريوات ديال بابا نويل هو تقليد ساخر لفيلم ""ميريكل أون 34th ستريت"" ديال 1947.","dak l-mashhad dyal l-mahkama lli kayjibou fih shkayr bzzaf 3amrin briwwat dyal baba noel hua tqliid sakhir l-film ""miracle on 34th street"" dyal 1947.","That scene in the courtroom where people are wearing Santa hats and bringing gifts for Santa Claus is a satirical tradition inspired by the 1947 film ""Miracle on 34th Street"".","يُعتبر المشهد الذي يظهر فيه الأشخاص في المحكمة يرتدون قبعات بابا نويل ويحملون هدايا له تقليداً ساخرًا مستوحىً من فيلم ""عجلة الحظ في شارع 34"" لعام 1947.",28,GENERATED
data64040,DATA_15609,B,السيطرة المدنية على الجيش تقليد مريكي كيرجع لتأسيس الجمهورية. فمذكراتو ديال 1956، ترومان كتب:,"Assaytara lmadaniya 3la l-jich taqlid mrikik kayrja3 lt-ta'sis l-jomhouriya. F moudakkarato dyal 1956, Truman ktab:","The civilian control over the army is an American tradition that dates back to the establishment of the republic. Since his memoirs of 1956, Truman wrote:",السيطرة المدنية على الجيش تقليد أمريكي يعود إلى تأسيس الجمهورية. في مذكراته منذ عام 1956، كتب ترامان:,26,GENERATED
data64041,WIKI_D_03905,D,"في 1.163 مرة شعاع ديال الأرض، كيبل @-@ <unk> هو الكوكب اللول اللي تنكتشف قريب للأرض وقياس ديالو بحال القياس ديال الأرض في ""المنطقة الصالحة للحياة"" اللي دايرة بنجمة بحال الشمس من نوع G2 (23 يوليوز 2015).","f 1.163 mrra sh3a3 dyal l2rd, kaypla @-@ <unk> howa lkawkb llawl lli tnkchf qrib ll2rd wqyas dyalo bhal lqyas dyal l2rd f ""lmanTaqa lSaliHa lilHayat"" lli dayra bnjma bhal chms mn no3 g2 (23 yulyuz 2015).","In 1.163 times the radius of the Earth, the exoplanet @-@ <unk> is the first planet discovered close to the Earth, with a size similar to that of the Earth in the ""habitable zone"" which orbits a star similar to the Sun of type G2 (July 23, 2015).","في 1.163 مرة قطر الأرض، يُعتبر كوكب @-@ <unk> هو الكوكب الأول الذي تم اكتشافه بالقرب من الأرض، وله حجم مشابه لتلك الأرض في ""المنطقة الصالحة للحياة"" التي تدور حول نجم من نوع G2 (23 يوليو 2015).",37,GENERATED
data64042,WIKI_D_07215,D,"ماثيو روبرت ""مات"" سميث (تزاد ف 28 أكتوبر 1982) ممثل إنجليزي. معروف بزاف بالدور ديالو كا الدكتور الحادي عشر فالسلسلة د الخيال العلمي ديال بي بي سي دكتور هو، واللي ترشح عليه لجائزة بافتا ف 2011.","matyu rubart ""mat"" smit (tzad f 28 oktobar 1982) momathil ingilizi. ma3ruf bzaf b-dor dyalu ka-d-duktur l-xadiy 3ashar f-salsila d-l-xayal l-3ilmi dyal bbc duktur hu, w-lli trshh 3lih li-ja2izt BAFTA f 2011.","Matthew Robert ""Matt"" Smith (born 28 October 1982) is an English actor. He is best known for his role as the Eleventh Doctor in the BBC science fiction series Doctor Who, which earned him a BAFTA nomination in 2011.","ماتيو روبرت ""مات"" سميث (مولود في 28 أكتوبر 1982) ممثل إنجليزي. اشتهر بالدور الذي لعبته كالدكتور الحادي عشر في المسلسل الخيالي العلمي ""دكتور هو"" على بي بي سي، والذي ترشح له لجائزة البافتا في عام 2011.",36,GENERATED
data64043,DATA_23662,B,"9 يونيو 2015 — روان لمونطاني، 24,5 كلم (15,2 ميل) (TTT)","9 younyo 2015 — Rwan Lemontani, 24,5 km (15,2 mil) (TTT)","On June 9, 2015 — Rouane L'Mountani, 24.5 km (15.2 miles) (TTT)",في 9 يونيو 2015 — روان لمونطاني، 24.5 كيلومتراً (15.2 ميل) (TTT),21,GENERATED
data64044,DATA_21835,B,الحوت، هاميلتون، (1849 – 1936). دليل السيرة الذاتية للكونغرس الأمريكي. تم الاسترجاع 2011 @-@ 09 @-@ 17.,"l-hut, hamilton, (1849 – 1936). dlil siira datiya l-l-kongris l-amriki. tmm l-istirja3 2011 @-@ 09 @-@ 17.","The Whale, Hamilton, (1849 – 1936). Biographical Directory of the United States Congress. Retrieved 2011 @-@ 09 @-@ 17.",الحوت، هاملتون، (1849 – 1936). دليل السيرة الذاتية للكونغرس الأمريكي. استرجع في 2011 @-@ 09 @-@ 17.,27,GENERATED
data64045,WIKI_C_03627,C,فوقاش كان ف لامارين كان هو الشومبيون ديال البوكس ديال لامارين ف شحال من وزن و كان كيدرّس البوكس ف الاكاديميّة ديال لامارين ف أناپوليس، ماريلاند.,"fawqash kan f lmarin kan howa champion dyal lbox dyal lmarin f shhal mn wazn w kan kidrs lbox f l'akadimiya dyal lmarin f Annapolis, Maryland.","He was above all a scholar of the marine box, which weighed a lot, and he used to teach the box at the Academy of Marine Sciences in Annapolis, Maryland.",كان على الأخص عالمًا للمروح البحرية، والتي كان وزنها كبيرًا، وكان يدرسها في أكاديمية العلوم البحرية في أنابولس، ماريلاند.,26,GENERATED
data64046,WIKI_C_01943,C,حيت السي ساركار كان كيعرف مدينة كولكاتا مزيان، الفيلم تصور تما بالأساس. واخا أغلبية الفيلم تصورت فكولكاتا، واحد الشوية تصور فدارجيلينغ.,"7it ssi sarkar kan ky3ref mdinti kolkata mzyan, lfilm tswwer tma bl asAs. wakha aghlabiya lfilm tswwert f kolkata, wa7d chi schwiya tswwer f darjeeling.","The film was shot mainly in Kolkata, but although most of the film was shot in Kolkata, a few scenes were shot in Darjeeling.",كان الفيلم يتم تصويره بشكل أساسي في مدينة كولكاتا، ولكن على الرغم من أن معظم الفيلم تم تصويره في كولكاتا، إلا أن بعض المشاهد تم تصويرها في دارجلينغ.,21,GENERATED
data64047,WIKI_D_01227,D,بلا تبني ناسا لهاد الرأي القليل اللي كانو متبتين فيه فـ 1962، يمكن تكون ميريكان وصلات للقمر، ولكن تقريبا مامتيقاش كانت غادي توصل ليه قبل ما يسالي الستينات، التاريخ اللي حدد الرئيس كينيدي.,"bla tabanni nasa lhad ray l9lil lli kanou mtabtin fih f 1962, ymken tkoun mirikan waslat l 9mer, walakin ta9riban mamt9ach kant ghadi tsil lih 9bel ma ysl el 6inat, tarikh lli 7added ra2is kennedy.","They didn't build a space station for this particular opinion that was prevalent in 1962, maybe the Americans could have reached the moon, but it was unlikely that they would have achieved it before the sixties, the time that President Kennedy set.",لم يتم بناء محطة فضاء لهذا الرأي المحدد في عام 1962، ربما كان الأمريكيون قد وصلوا إلى القمر، ولكن كان من غير المرجح أن يصلوا إليه قبل ستينيات القرن الماضي، الوقت الذي حدده الرئيس كينيدي.,33,GENERATED
data64048,WIKI_D_01543,D,"كورتيس حاول يميز خدمتو على الفيلم ديال مور، وصف مور بـ ""صانع أفلام ديال التحريض السياسي""، و قال "" صعيب باش تعرف السياسة ديالي من المشاهدة ديال [ The Power of Nightmares ].""","kurtis 7awel yemayyez khdemto 3la lfilm dyal moore, wssef moore b ""sane3 aflam dyal ta7rid siyasi"", w qal ""s3ib bach t3ref siyasti mn lmouchahada dyal [l9owat dial likwabis]"".","Agis as a Moroccan expert translator, I translate the phrase as follows:","الترجمة بالعربية الفصحى: حاول كورتيس تمييز خدمته عن فيلم مور، ووصف موره بـ ""مخرج أفلام التحريض السياسي""، وقال ""صعب أن تعرف سياسيته من مشاهدة [ قوة الأحلام ].""",33,GENERATED
